smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
C1CN->[Cd+2]<-N2(C1)CCSCCOCCSCC2,8.08,Cd,17,2,N,1
C1CN->[Cd+2]<-N2(C1)CCSCCSCCSCC2,8.2,Cd,17,2,N,1
C1CN->[Cd+2]<-NC1,5.215,Cd,6,2,N,6
C1CN->[Co+2]<-N1,5.695,Co,5,2,N,10
C1CN->[Cr+2]<-N1,5.48,Cr,5,2,N,1
C1CN->[Cr+3]<-N1,3.25,Cr,5,2,N,1
C1CN->[Cu+2]<-N1,10.6,Cu,5,2,N,41
C1CN->[Cu+2]<-N2(C1)CCSCCOCCOCCSCC2,6.9,Cu,20,2,N,1
C1CN->[Cu+2]<-N2(C1)CCSCCOCCSCC2,9.67,Cu,17,2,N,1
C1CN->[Cu+2]<-N2(C1)CCSCCSCCSCC2,9.23,Cu,17,2,N,1
C1CN->[Cu+2]<-NC1,9.795,Cu,6,2,N,16
C1CN->[Cu+2]<-NCCCSC1,9.792,Cu,10,2,N,1
C1CN->[Cu+2]<-NCCSC1,10.035,Cu,9,2,N,1
C1CN->[Cu+2]<-n2nn[nH]c2C1,8.08,Cu,10,2,N,1
C1CN->[Dy+3]<-N1,5.63,Dy,5,2,N,1
C1CN->[Fe+2]<-N1,4.3,Fe,5,2,N,2
C1CN->[Gd+3]<-N1,5.34,Gd,5,2,N,1
C1CN->[Hg+2]<-N1,14.014,Hg,5,2,N,6
C1CN->[Hg+2]<-N2(C1)CCSCCOCCOCCSCC2,7.8,Hg,20,2,N,1
C1CN->[Hg+2]<-N2(C1)CCSCCOCCSCC2,9.62,Hg,17,2,N,1
C1CN->[Hg+2]<-N2(C1)CCSCCSCCSCC2,10.88,Hg,17,2,N,1
C1CN->[Hg+2]<-NC1,15.42,Hg,6,2,N,3
C1CN->[La+3]<-N1,4.88,La,5,2,N,1
C1CN->[Mg+2]<-N1,0.38,Mg,5,2,N,1
C1CN->[Mn+2]<-N1,2.755,Mn,5,2,N,6
C1CN->[Ni+2]<-N1,7.485,Ni,5,2,N,28
C1CN->[Ni+2]<-NC1,6.42,Ni,6,2,N,11
C1CN->[Ni+2]<-NCCSC1,5.989,Ni,9,2,N,1
C1CN->[Ni+2]<-n2nn[nH]c2C1,5.86,Ni,10,2,N,1
C1CN->[Pb+2]<-N1,5.045,Pb,5,2,N,4
